feedback_id,customer_id,product_id,rating,feedback_text,feedback_date,sentiment_id,sentiment,confidence,model_name,sentiment_label,feedback_bucket
1,1,1,4,"Average product, could be better",2026-07-23 07:35:08.364204,1,positive,0.55,bert-base,positive,positive
2,2,2,4,Fantastic support and fast shipping,2026-05-05 07:35:08.364275,2,neutral,0.58,roberta-base,neutral,positive
3,3,3,1,Very satisfied with the experience,2026-03-12 07:35:08.364492,3,neutral,0.91,distilbert,neutral,negative
4,4,4,3,Very satisfied with the experience,2026-04-06 07:35:08.364531,4,negative,0.91,bert-base,negative,neutral
5,5,5,4,Very satisfied with the experience,2026-05-23 07:35:08.364571,5,negative,0.84,bert-base,negative,positive
6,6,6,2,Delivery was late,2026-02-14 07:35:08.364609,6,neutral,0.69,distilbert,neutral,negative
7,7,7,2,Good value for money,2026-03-23 07:35:08.364646,7,neutral,0.54,bert-base,neutral,negative
8,8,8,3,"Average product, could be better",2026-03-12 07:35:08.364690,8,positive,0.83,bert-base,positive,neutral
9,9,9,1,"Average product, could be better",2026-02-21 07:35:08.364728,9,neutral,0.91,distilbert,neutral,negative
10,10,10,2,Delivery was late,2026-07-17 07:35:08.364767,10,positive,0.93,bert-base,positive,negative
11,11,11,5,"Average product, could be better",2026-04-14 07:35:08.364808,11,positive,0.96,distilbert,positive,positive
12,12,12,1,Good value for money,2026-05-06 07:35:08.364845,12,positive,0.79,bert-base,positive,negative
13,13,13,3,Good value for money,2026-02-10 07:35:08.364882,13,neutral,0.6,bert-base,neutral,neutral
14,14,14,4,Very satisfied with the experience,2026-07-18 07:35:08.364921,14,negative,0.82,distilbert,negative,positive
15,15,15,2,Very satisfied with the experience,2026-05-21 07:35:08.364960,15,neutral,0.62,bert-base,neutral,negative
16,16,16,2,Very satisfied with the experience,2026-04-20 07:35:08.364997,16,positive,0.58,bert-base,positive,negative
17,17,17,5,Fantastic support and fast shipping,2026-07-16 07:35:08.365034,17,negative,0.65,bert-base,negative,positive
18,18,18,4,Good value for money,2026-07-01 07:35:08.365071,18,negative,0.62,distilbert,negative,positive
19,19,19,4,Delivery was late,2026-06-28 07:35:08.365107,19,negative,0.82,roberta-base,negative,positive
20,20,20,1,Delivery was late,2026-05-30 07:35:08.365143,20,neutral,0.64,roberta-base,neutral,negative
21,21,21,5,Great product and excellent quality,2026-06-22 07:35:08.365190,21,neutral,0.64,bert-base,neutral,positive
22,22,22,3,Very satisfied with the experience,2026-07-20 07:35:08.365226,22,positive,0.66,bert-base,positive,neutral
23,23,23,3,Great product and excellent quality,2026-03-04 07:35:08.365262,23,negative,0.57,bert-base,negative,neutral
24,24,24,3,Great product and excellent quality,2026-03-10 07:35:08.365299,24,neutral,0.98,distilbert,neutral,neutral
25,25,25,2,Fantastic support and fast shipping,2026-05-24 07:35:08.365338,25,positive,0.89,bert-base,positive,negative
26,26,26,4,Good value for money,2026-05-08 07:35:08.365374,26,neutral,0.92,roberta-base,neutral,positive
27,27,27,1,Delivery was late,2026-07-04 07:35:08.365450,27,negative,0.71,distilbert,negative,negative
28,28,28,4,Fantastic support and fast shipping,2026-07-31 07:35:08.365495,28,negative,0.95,distilbert,negative,positive
