sentiment_id,feedback_id,sentiment,confidence,model_name
1,1,positive,0.55,bert-base
2,2,neutral,0.58,roberta-base
3,3,neutral,0.91,distilbert
4,4,negative,0.91,bert-base
5,5,negative,0.84,bert-base
6,6,neutral,0.69,distilbert
7,7,neutral,0.54,bert-base
8,8,positive,0.83,bert-base
9,9,neutral,0.91,distilbert
10,10,positive,0.93,bert-base
11,11,positive,0.96,distilbert
12,12,positive,0.79,bert-base
13,13,neutral,0.6,bert-base
14,14,negative,0.82,distilbert
15,15,neutral,0.62,bert-base
16,16,positive,0.58,bert-base
17,17,negative,0.65,bert-base
18,18,negative,0.62,distilbert
19,19,negative,0.82,roberta-base
20,20,neutral,0.64,roberta-base
21,21,neutral,0.64,bert-base
22,22,positive,0.66,bert-base
23,23,negative,0.57,bert-base
24,24,neutral,0.98,distilbert
25,25,positive,0.89,bert-base
26,26,neutral,0.92,roberta-base
27,27,negative,0.71,distilbert
28,28,negative,0.95,distilbert
29,29,neutral,0.84,distilbert
30,30,neutral,0.64,roberta-base
31,31,positive,0.9,bert-base
32,32,negative,0.84,roberta-base
33,33,positive,0.77,bert-base
34,34,negative,0.92,roberta-base
35,35,neutral,0.66,distilbert
36,36,positive,0.6,roberta-base
37,37,positive,0.74,roberta-base
38,38,negative,0.82,bert-base
39,39,neutral,0.91,roberta-base
40,40,negative,0.57,bert-base
41,41,neutral,0.55,bert-base
42,42,negative,0.88,distilbert
43,43,neutral,0.97,distilbert
44,44,neutral,0.92,bert-base
45,45,neutral,0.64,distilbert
46,46,negative,0.74,bert-base
47,47,negative,0.77,roberta-base
48,48,negative,0.74,distilbert
49,49,negative,0.64,bert-base
50,50,neutral,0.74,distilbert
51,51,positive,0.88,roberta-base
52,52,positive,0.63,bert-base
53,53,neutral,0.85,distilbert
54,54,negative,0.57,roberta-base
55,55,neutral,0.96,distilbert
56,56,positive,0.99,distilbert
57,57,neutral,0.97,roberta-base
58,58,positive,0.72,roberta-base
59,59,negative,0.68,roberta-base
60,60,negative,0.58,distilbert
61,61,negative,0.63,roberta-base
62,62,negative,0.63,bert-base
63,63,neutral,0.72,roberta-base
64,64,positive,0.56,distilbert
65,65,negative,0.84,distilbert
66,66,negative,0.84,roberta-base
67,67,neutral,0.68,bert-base
68,68,negative,0.57,roberta-base
69,69,neutral,0.81,roberta-base
70,70,negative,0.64,distilbert
71,71,negative,0.59,roberta-base
72,72,neutral,0.87,bert-base
73,73,neutral,0.97,bert-base
74,74,neutral,0.9,roberta-base
